// List of Teams and their ID's plus league IDs :
//1 => Orlando Magic (North American Baseball Association => 200)
//2 => Kansas City Keys (North American Baseball Association => 200)
//3 => NOVA Navigators (North American Baseball Association => 200)
//4 => Sacramento Sluggers (North American Baseball Association => 200)
//5 => Salt Lake City Missionaries (North American Baseball Association => 200)
//6 => New York Revolution (North American Baseball Association => 200)
//7 => Brampton Baboons (North American Baseball Association => 200)
//8 => Atlanta Bombers (North American Baseball Association => 200)
//9 => Raleigh Raptor Boats (North American Baseball Association => 200)
//10 => San Antonio Predators (North American Baseball Association => 200)
//11 => Columbia Crusaders (North American Baseball Association => 200)
//12 => Monterrey Los Hidalgos (North American Baseball Association => 200)
//13 => San Juan Defenders (North American Baseball Association => 200)
//14 => Mexico City Blazers (North American Baseball Association => 200)
//15 => Richmond Kings (North American Baseball Association => 200)
//16 => Hamilton Hitters (North American Baseball Association => 200)
//
//FILE FORMAT:
//player ID, lastname, firstname, year, team ID, g, gs, pa, ab, h, 2b, 3b, hr, rbi, r, sb, cs, bb, hp, k, sh, sf, gdp, ibb, ci, pitches seen, vorp, split_id, team_abbr, league_abbr, team_name, league_name, league_level_id, bbrefid, bbrefminorid, OOTP pID
//split_id: 1 = overall; 2 = vsL; 3 = vsR; 21 = Playoffs
//NOTE: Player, team and league names are purely cosmetical and will not be used when importing stats from this file!
356,Adame,Alex,2022,14,75,74,316,290,96,27,2,1,39,36,4,0,15,5,43,3,3,7,0,0,1046,2.1,1,MC,NABA,Mexico City,North American Baseball Association,1,,,356,eol
356,Adame,Alex,2022,14,74,61,267,245,81,23,1,1,34,29,0,0,14,3,35,2,3,5,0,0,0,1.7,3,MC,NABA,Mexico City,North American Baseball Association,1,,,356,eol
356,Adame,Alex,2022,14,24,13,49,45,15,4,1,0,5,7,0,0,1,2,8,1,0,2,0,0,0,0.8,2,MC,NABA,Mexico City,North American Baseball Association,1,,,356,eol
356,Adame,Alex,2022,14,16,16,70,66,24,9,0,0,8,10,0,0,3,0,8,1,0,1,0,0,222,1.0,21,MC,NABA,Mexico City,North American Baseball Association,1,,,356,eol
356,Adame,Alex,2023,14,75,75,323,310,99,33,1,0,52,29,0,1,7,4,41,0,2,19,0,0,1025,0.8,1,MC,NABA,Mexico City,North American Baseball Association,1,,,356,eol
356,Adame,Alex,2023,14,25,15,53,52,15,3,0,0,10,3,0,0,1,0,10,0,0,3,0,0,0,0.3,2,MC,NABA,Mexico City,North American Baseball Association,1,,,356,eol
356,Adame,Alex,2023,14,74,60,270,258,84,30,1,0,42,26,0,0,6,4,31,0,2,16,0,0,0,1.4,3,MC,NABA,Mexico City,North American Baseball Association,1,,,356,eol
735,Adamic,John,2022,10,62,62,230,209,51,12,1,2,28,28,0,0,17,2,38,0,2,4,0,0,822,-1.2,1,SA,NABA,San Antonio,North American Baseball Association,1,,,735,eol
735,Adamic,John,2022,10,58,46,176,162,40,10,1,1,19,20,0,0,10,2,27,0,2,3,0,0,0,-0.8,3,SA,NABA,San Antonio,North American Baseball Association,1,,,735,eol
735,Adamic,John,2022,10,23,16,54,47,11,2,0,1,9,8,0,0,7,0,11,0,0,1,0,0,0,-0.6,2,SA,NABA,San Antonio,North American Baseball Association,1,,,735,eol
